filepath,ext,type,size,path,ref_date,geo_code,geo_level,file_type,format,projection,geo_coverage,language
gada000b16m_e,zip,file, 36.8M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ADA-ADA/gada000b16m_e.zip,2016,ada,aggregate dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gada000b16m_f,zip,file, 36.82M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ADA-ADA/gada000b16m_f.zip,2016,ada,aggregate dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gcar000b16m_e,zip,file, 24.19M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CAR-RAR/gcar000b16m_e.zip,2016,car,census agricultural region,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
grar000b16m_f,zip,file, 24.21M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CAR-RAR/grar000b16m_f.zip,2016,rar,census agricultural region,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gccs000b16m_e,zip,file, 32.36M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CCS-SRU/gccs000b16m_e.zip,2016,ccs,census consolidated subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gsru000b16m_f,zip,file, 32.39M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CCS-SRU/gsru000b16m_f.zip,2016,sru,census consolidated subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gcd_000b16m_e,zip,file, 30.51M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CD-DR/gcd_000b16m_e.zip,2016,cd_,census division,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gdr_000b16m_f,zip,file, 30.53M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CD-DR/gdr_000b16m_f.zip,2016,dr_,census division,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gcma000b16m_e,zip,file,  2.93M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CMA-RMR/gcma000b16m_e.zip,2016,cma,census metropolitan area and census agglomeration,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
grmr000b16m_f,zip,file,  2.95M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CMA-RMR/grmr000b16m_f.zip,2016,rmr,census metropolitan area and census agglomeration,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gcsd000b16m_e,zip,file, 37.85M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CSD-SDR/gcsd000b16m_e.zip,2016,csd,census subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gsdr000b16m_f,zip,file, 37.87M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CSD-SDR/gsdr000b16m_f.zip,2016,sdr,census subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gct_000b16m_e,zip,file,  6.46M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CT-SR/gct_000b16m_e.zip,2016,ct_,census tract,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gsr_000b16m_f,zip,file,  6.49M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CT-SR/gsr_000b16m_f.zip,2016,sr_,census tract,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gad_000b16m_f,zip,file, 70.62M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DA-AD/gad_000b16m_f.zip,2016,ad_,dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gda_000b16m_e,zip,file, 70.6M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DA-AD/gda_000b16m_e.zip,2016,da_,dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gdb_000b16m_e,zip,file,193.09M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DB-ID/gdb_000b16m_e.zip,2016,db_,dissemination block,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gid_000b16m_f,zip,file,193.08M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DB-ID/gid_000b16m_f.zip,2016,id_,NA,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
gdpl000b16m_e,zip,file,  1.87M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DPL-LD/gdpl000b16m_e.zip,2016,dpl,designated place,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
gld_000b16m_f,zip,file,  1.89M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DPL-LD/gld_000b16m_f.zip,2016,ld_,designated place,cartographic boundary file,MapInfo® (.tab),lat/long,canada,french
ger_000b16m_e,zip,file, 24.08M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ER-RE/ger_000b16m_e.zip,2016,er_,economic region,cartographic boundary file,MapInfo® (.tab),lat/long,canada,english
