filepath,size,path,ref_date,geo_code,geo_level,file_type,format,projection,language
gada000b16m_e, 36.8M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ADA-ADA/gada000b16m_e.zip,2016,ada,aggregate dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,english
gada000b16m_f, 36.82M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ADA-ADA/gada000b16m_f.zip,2016,ada,aggregate dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,french
gcar000b16m_e, 24.19M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CAR-RAR/gcar000b16m_e.zip,2016,car,census agricultural region,cartographic boundary file,MapInfo® (.tab),lat/long,english
grar000b16m_f, 24.21M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CAR-RAR/grar000b16m_f.zip,2016,rar,census agricultural region,cartographic boundary file,MapInfo® (.tab),lat/long,french
gccs000b16m_e, 32.36M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CCS-SRU/gccs000b16m_e.zip,2016,ccs,census consolidated subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,english
gsru000b16m_f, 32.39M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CCS-SRU/gsru000b16m_f.zip,2016,sru,census consolidated subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,french
gcd_000b16m_e, 30.51M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CD-DR/gcd_000b16m_e.zip,2016,cd_,census division,cartographic boundary file,MapInfo® (.tab),lat/long,english
gdr_000b16m_f, 30.53M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CD-DR/gdr_000b16m_f.zip,2016,dr_,census division,cartographic boundary file,MapInfo® (.tab),lat/long,french
gcma000b16m_e,  2.93M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CMA-RMR/gcma000b16m_e.zip,2016,cma,census metropolitan area and census agglomeration,cartographic boundary file,MapInfo® (.tab),lat/long,english
grmr000b16m_f,  2.95M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CMA-RMR/grmr000b16m_f.zip,2016,rmr,census metropolitan area and census agglomeration,cartographic boundary file,MapInfo® (.tab),lat/long,french
gcsd000b16m_e, 37.85M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CSD-SDR/gcsd000b16m_e.zip,2016,csd,census subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,english
gsdr000b16m_f, 37.87M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CSD-SDR/gsdr000b16m_f.zip,2016,sdr,census subdivision,cartographic boundary file,MapInfo® (.tab),lat/long,french
gct_000b16m_e,  6.46M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CT-SR/gct_000b16m_e.zip,2016,ct_,census tract,cartographic boundary file,MapInfo® (.tab),lat/long,english
gsr_000b16m_f,  6.49M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/CT-SR/gsr_000b16m_f.zip,2016,sr_,census tract,cartographic boundary file,MapInfo® (.tab),lat/long,french
gad_000b16m_f, 70.62M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DA-AD/gad_000b16m_f.zip,2016,ad_,dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,french
gda_000b16m_e, 70.6M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DA-AD/gda_000b16m_e.zip,2016,da_,dissemination area,cartographic boundary file,MapInfo® (.tab),lat/long,english
gdb_000b16m_e,193.09M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DB-ID/gdb_000b16m_e.zip,2016,db_,dissemination block,cartographic boundary file,MapInfo® (.tab),lat/long,english
gid_000b16m_f,193.08M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DB-ID/gid_000b16m_f.zip,2016,id_,NA,cartographic boundary file,MapInfo® (.tab),lat/long,french
gdpl000b16m_e,  1.87M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DPL-LD/gdpl000b16m_e.zip,2016,dpl,designated place,cartographic boundary file,MapInfo® (.tab),lat/long,english
gld_000b16m_f,  1.89M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/DPL-LD/gld_000b16m_f.zip,2016,ld_,designated place,cartographic boundary file,MapInfo® (.tab),lat/long,french
ger_000b16m_e, 24.08M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ER-RE/ger_000b16m_e.zip,2016,er_,economic region,cartographic boundary file,MapInfo® (.tab),lat/long,english
gre_000b16m_f, 24.1M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/ER-RE/gre_000b16m_f.zip,2016,re_,economic region,cartographic boundary file,MapInfo® (.tab),lat/long,french
gcef000b16m_f, 32.67M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/FED-CEF/gcef000b16m_f.zip,2016,cef,federal electoral district,cartographic boundary file,MapInfo® (.tab),lat/long,french
gfed000b16m_e, 32.65M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/FED-CEF/gfed000b16m_e.zip,2016,fed,federal electoral district,cartographic boundary file,MapInfo® (.tab),lat/long,english
ghy_000c16m_e,116.41M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000c16m_e.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),MapInfo® (.tab),lat/long,english
ghy_000c16m_f,116.43M,//fld6filer/fichiersGEOfiles/Geographie_2016_Geography/Spatial_Info_Products-Produits_d'info_spatiale/LatLongProjection/MapInfo/CBF/HYDRO/ghy_000c16m_f.zip,2016,hy_,NA,interior lakes and rivers hydrographic reference file (polygon),MapInfo® (.tab),lat/long,french
